algorithm,n,time_ns,depth,comparisons,allocations,swaps
mergesort,1000,4027200,7,10371,7936,9707
quicksort,1000,1543200,6,11509,780,5917
select,1000,3207100,1,2735,2927,1971
closest,1000,7613200,0,0,0,0
mergesort,2000,1174600,8,22469,17872,21139
quicksort,2000,435400,6,25369,1568,12618
select,2000,910000,1,5688,5949,4000
closest,2000,1807600,0,0,0,0
mergesort,5000,1410200,10,58325,54488,55821
quicksort,5000,1010700,6,78650,3913,41150
select,5000,1980100,1,14973,15502,10435
closest,5000,5246200,0,0,0,0
mergesort,10000,5203900,11,127009,118976,121914
quicksort,10000,2180400,8,162297,7834,92429
select,10000,4485900,1,30829,31603,21587
closest,10000,9482000,0,0,0,0
